lemma,pos,ipa,meaning,example,audio,note_ids
represent,,,"thay mặt, đại diện",,4000B1_represent.mp3,1565658228596
shake,,,"rung, lắc to shake hands: bắt tay",,4000B1_shake.mp3,1565658228597
spread,,,"phết, trải ra",,4000B1_spread.mp3,1565658228598
stroll,,,đi dạo,,4000B1_stroll.mp3,1565658228599
village,,,"làng, xã",,4000B1_village.mp3,1565658228600
aware,,,"nhận thấy, nhận thức",,4000B1_aware.mp3,1565658228601
badly,,,"xấu, tồi, trầm trọng, khủng khiếp",,4000B1_badly.mp3,1565658228602
belong,,,thuộc về,,4000B1_belong.mp3,1565658228603
continue,,,"tiếp tục, vẫn cứ",,4000B1_continue.mp3,1565658228604
error,,,"sự sai sót, lỗi",,4000B1_error.mp3,1565658228605
experience,,,kinh nghiệm,,4000B1_experience.mp3,1565658228606
field,,,"cánh đồng, khu khai thác",,4000B1_field.mp3,1565658228607
hurt,,,"bị thương, bị đau",,4000B1_hurt.mp3,1565658228608
judgment,,,"sự xét xử, quyết định của tòa án, ý kiến",,4000B1_judgment.mp3,1565658228609
likely,,,"rất có thể, dường như, có lẽ đúng, thích hợp",,4000B1_likely.mp3,1565658228610
normal,,,"bình thường, thông thường",,4000B1_normal.mp3,1565658228611
rare,,,"hiếm, ít có",,4000B1_rare.mp3,1565658228612
relax,,,"thư giãn, nghỉ ngơi",,4000B1_relax.mp3,1565658228613
request,,,"đề nghị, thỉnh cầu",,4000B1_request.mp3,1565658228614
reside,,,"ở tại, trú ngụ",,4000B1_reside.mp3,1565658228615
result,,,kết quả,,4000B1_result.mp3,1565658228616
roll,,,"lăn, cuốn",,4000B1_roll.mp3,1565658228617
since,,,"từ khi, từ lúc",,4000B1_since.mp3,1565658228618
visible,,,(có thể) thấy được,,4000B1_visible.mp3,1565658228619
wild,,,"hoang dã, chưa thuần",,4000B1_wild.mp3,1565658228620
advantage,,,"lợi thế, ưu điểm",,4000B1_advantage.mp3,1565658228621
cause,,,"gây ra, gây nên",,4000B1_cause.mp3,1565658228622
choice,,,sự lựa chọn,,4000B1_choice.mp3,1565658228623
community,,,cộng đồng,,4000B1_community.mp3,1565658228624
dead,,,chết,,4000B1_dead.mp3,1565658228625
distance,,,"khoảng cách, quãng đường",,4000B1_distance.mp3,1565658228626
escape,,,"trốn thoát, thoát ra",,4000B1_escape.mp3,1565658228627
face,,,"đương đầu, đối mặt",,4000B1_face.mp3,1565658228628
follow,,,"đi theo, theo đuổi",,4000B1_follow.mp3,1565658228629
fright,,,sự hoảng sợ,,4000B1_fright.mp3,1565658228630
ghost,,,con ma,,4000B1_ghost.mp3,1565658228631
individual,,,"riêng lẻ, riêng biệt",,4000B1_individual.mp3,1565658228632
pet,,,"vật nuôi, thú cưng",,4000B1_pet.mp3,1565658228633
reach,,,"đạt tới, chạm tới, đến, tới",,4000B1_reach.mp3,1565658228634
return,,,"trở lại, trở về",,4000B1_return.mp3,1565658228635
survive,,,"sống sót, tồn tại",,4000B1_survive.mp3,1565658228636
upset,,,"thất vọng, buồn",,4000B1_upset.mp3,1565658228637
voice,,,giọng nói,,4000B1_voice.mp3,1565658228638
weather,,,thời tiết,,4000B1_weather.mp3,1565658228639
wise,,,"khôn ngoan, uyên bác",,4000B1_wise.mp3,1565658228640
allow,,,cho phép,,4000B1_allow.mp3,1565658228641
announce,,,"công bố, thông báo",,4000B1_announce.mp3,1565658228642
beside,,,bên cạnh,,4000B1_beside.mp3,1565658228643
challenge,,,"thử thách, thách thức",,4000B1_challenge.mp3,1565658228644
claim,,,"xác nhận, đòi hỏi",,4000B1_claim.mp3,1565658228645
condition,,,"điều kiện, hoàn cảnh",,4000B1_condition.mp3,1565658228646
contribute,,,"đóng góp, góp phần",,4000B1_contribute.mp3,1565658228647
difference,,,"sự khác nhau, sự chênh lệch",,4000B1_difference.mp3,1565658228648
divide,,,"chia, chia ra",,4000B1_divide.mp3,1565658228649
expert,,,chuyên gia,,4000B1_expert.mp3,1565658228650
famous,,,nổi tiếng,,4000B1_famous.mp3,1565658228651
force,,,"lực, sức mạnh",,4000B1_force.mp3,1565658228652
harm,,,"hại, tổn hại",,4000B1_harm.mp3,1565658228653
lay,,,"bày, nằm",,4000B1_lay.mp3,1565658228654
peace,,,hoà bình,,4000B1_peace.mp3,1565658228655
prince,,,hoàng tử,,4000B1_prince.mp3,1565658228656
protect,,,bảo vệ,,4000B1_protect.mp3,1565658228657
sense,,,"cảm nhận, cảm thấy",,4000B1_sense.mp3,1565658228658
sudden,,,"thình lình, đột ngột",,4000B1_sudden.mp3,1565658228659
therefore,,,vì thế,,4000B1_therefore.mp3,1565658228660
accept,,,"chấp nhận, chấp thuận",,4000B1_accept.mp3,1565658228661
arrange,,,"sắp xếp, sắp đặt",,4000B1_arrange.mp3,1565658228662
attend,,,"tham dự, có mặt",,4000B1_attend.mp3,1565658228663
balance,,,cân bằng,,4000B1_balance.mp3,1565658228664
contrast,,,"sự tương phản, sự trái ngược",,4000B1_contrast.mp3,1565658228665
encourage,,,"khuyến khích, động viên",,4000B1_encourage.mp3,1565658228666
familiar,,,"thân thuộc, quen thuộc",,4000B1_familiar.mp3,1565658228667
grab,,,"chộp, tóm, hái",,4000B1_grab.mp3,1565658228668
hang,,,"treo, mắc",,4000B1_hang.mp3,1565658228669
huge,,,"đồ sộ, khổng lồ",,4000B1_huge.mp3,1565658228670
necessary,,,"cần thiết, thiết yếu",,4000B1_necessary.mp3,1565658228671
pattern,,,"mẫu, kiểu",,4000B1_pattern.mp3,1565658228672
propose,,,"đề xuất, đưa ra",,4000B1_propose.mp3,1565658228673
purpose,,,"mục đích, ý định",,4000B1_purpose.mp3,1565658228674
release,,,"giải thoát, phóng thích",,4000B1_release.mp3,1565658228675
require,,,"đòi hỏi, yêu cầu",,4000B1_require.mp3,1565658228676
single,,,s__ __g__ __,,4000B1_single.mp3,1565658228677
success,,,"sự thành công, sự thắng lợi",,4000B1_success.mp3,1565658228678
tear,,,"xé, làm rách, nước mắt",,4000B1_tear.mp3,1565658228679
theory,,,"lý thuyết, học thuyết",,4000B1_theory.mp3,1565658228680
against,,,"chống lại, dựa vào",,4000B1_against.mp3,1565658228681
beach,,,bãi biển,,4000B1_beach.mp3,1565658228682
damage,,,"phá hủy, làm hư hại",,4000B1_damage.mp3,1565658228683
discover,,,"khám phá, tìm ra",,4000B1_discover.mp3,1565658228684
emotion,,,cảm xúc,,4000B1_emotion.mp3,1565658228685
fix,,,"đóng, gắn, sửa chữa",,4000B1_fix.mp3,1565658228686
frank,,,"thẳng thắn, bộc trực",,4000B1_frank.mp3,1565658228687
identify,,,"nhận biết,nhận ra",,4000B1_identify.mp3,1565658228688
island,,,hòn đảo,,4000B1_island.mp3,1565658228689
ocean,,,đại dương,,4000B1_ocean.mp3,1565658228690
perhaps,,,có lẽ,,4000B1_perhaps.mp3,1565658228691
pleasant,,,"vui vẻ, dễ thương",,4000B1_pleasant.mp3,1565658228692
prevent,,,ngăn chặn,,4000B1_prevent.mp3,1565658228693
rock,,,hòn đá,,4000B1_rock.mp3,1565658228694
save,,,"cứu, giúp",,4000B1_save.mp3,1565658228695
step,,,bước chân,,4000B1_step.mp3,1565658228696
still,,,"vẫn cứ, vẫn còn",,4000B1_still.mp3,1565658228697
taste,,,"vị, nếm",,4000B1_taste.mp3,1565658228698
throw,,,"ném, vứt, quăng",,4000B1_throw.mp3,1565658228699
wave,,,"sóng, làn sóng",,4000B1_wave.mp3,1565658228700
benefit,,,lợi ích,,4000B1_benefit.mp3,1565658228701
certain,,,"chắc chắn, tin cậy",,4000B1_certain.mp3,1565658228702
chance,,,"cơ hội, số phận",,4000B1_chance.mp3,1565658228703
effect,,,"hiệu quả, tác dụng",,4000B1_effect.mp3,1565658228704
essential,,,"thiết yếu, chủ yếu",,4000B1_essential.mp3,1565658228705
far,,,"xa, xa xôi",,4000B1_far.mp3,1565658228706
focus,,,tập trung,,4000B1_focus.mp3,1565658228707
function,,,hàm số; chức năng,,4000B1_function.mp3,1565658228708
grass,,,"cỏ, bâi cỏ",,4000B1_grass.mp3,1565658228709
guard,,,"bảo vệ, canh gác",,4000B1_guard.mp3,1565658228710
image,,,hình ảnh,,4000B1_image.mp3,1565658228711
immediate,,,"lập tức, tức thì",,4000B1_immediate.mp3,1565658228712
primary,,,"gốc, căn bản",,4000B1_primary.mp3,1565658228713
proud,,,tự hào; hãnh diện,,4000B1_proud.mp3,1565658228714
remain,,,"vẫn, còn lại",,4000B1_remain.mp3,1565658228715
rest,,,(n): sự nghỉ ngơi; (v): nghỉ ngơi,,4000B1_rest.mp3,1565658228716
separate,,,"riêng rẽ, riêng biệt",,4000B1_separate.mp3,1565658228717
site,,,"nơi, chỗ, vị trí",,4000B1_site.mp3,1565658228718
tail,,,"đuôi, đoạn cuối",,4000B1_tail.mp3,1565658228719
trouble,,,"sự trục trặc, sự rắc rối",,4000B1_trouble.mp3,1565658228720
anymore,,,nữa,,4000B1_anymore.mp3,1565658228721
asleep,,,"ngủ, đang ngủ",,4000B1_asleep.mp3,1565658228722
berry,,,quả dâu tây,,4000B1_berry.mp3,1565658228723
collect,,,"thu thập, sưu tầm",,4000B1_collect.mp3,1565658228724
compete,,,"ganh đua, cạnh tranh",,4000B1_compete.mp3,1565658228725
conversation,,,"cuộc chuyện trò, đàm luận, đàm thoại",,4000B1_conversation.mp3,1565658228726
creature,,,"sinh vật, loài vật",,4000B1_creature.mp3,1565658228727
decision,,,sự quyết định,,4000B1_decision.mp3,1565658228728
either,,,một (trong hai),,4000B1_either.mp3,1565658228729
forest,,,rừng,,4000B1_forest.mp3,1565658228730
ground,,,"mặt đất, đất",,4000B1_ground.mp3,1565658228731
introduce,,,giới thiệu,,4000B1_introduce.mp3,1565658228732
marry,,,"cưới (vợ), lấy (chồng)",,4000B1_marry.mp3,1565658228733
prepare,,,"chuẩn bị, sửa soạn",,4000B1_prepare.mp3,1565658228734
sail,,,"điều khiển, lái (thuyền buồm)",,4000B1_sail.mp3,1565658228735
serious,,,nghiêm trọng,,4000B1_serious.mp3,1565658228736
spend,,,"tiêu (tiền), dùng (thì giờ)",,4000B1_spend.mp3,1565658228737
strange,,,xa lạ,,4000B1_strange.mp3,1565658228738
truth,,,"sự thật, lẽ phải",,4000B1_truth.mp3,1565658228739
wake,,,"thức giấc, đánh thức",,4000B1_wake.mp3,1565658228740
alone,,,"một mình, trơ trọi",,4000B1_alone.mp3,1565658228741
apartment,,,căn hộ,,4000B1_apartment.mp3,1565658228742
article,,,"bài báo, điều khoản",,4000B1_article.mp3,1565658228743
artist,,,"nghệ sĩ, họa sĩ",,4000B1_artist.mp3,1565658228744
attitude,,,"thái độ, quan điểm",,4000B1_attitude.mp3,1565658228745
compare,,,so sánh,,4000B1_compare.mp3,1565658228746
judge,,,"xét xử, phán đoán, đánh giá",,4000B1_judge.mp3,1565658228747
magazine,,,tạp chí,,4000B1_magazine.mp3,1565658228748
material,,,"vật chất, vật liệu",,4000B1_material.mp3,1565658228749
meal,,,bữa ăn,,4000B1_meal.mp3,1565658228750
method,,,"phương pháp, cách thức",,4000B1_method.mp3,1565658228751
neighbor,,,người hàng xóm,,4000B1_neighbor.mp3,1565658228752
professional,,,chuyên nghiệp,,4000B1_professional.mp3,1565658228753
profit,,,"tiền lãi, lợi ích",,4000B1_profit.mp3,1565658228754
quality,,,"chất lượng, phẩm chất",,4000B1_quality.mp3,1565658228755
shape,,,"hình dạng, hình thù",,4000B1_shape.mp3,1565658228756
space,,,không gian,,4000B1_space.mp3,1565658228757
stair,,,"bậc thang, cầu thang",,4000B1_stair.mp3,1565658228758
symbol,,,"ký hiệu, vật tượng trưng",,4000B1_symbol.mp3,1565658228759
thin,,,"gầy, mảnh khảnh",,4000B1_thin.mp3,1565658228760
blood,,,"máu, nhựa cậy",,4000B1_blood.mp3,1565658228761
burn,,,"đốt cháy, nung",,4000B1_burn.mp3,1565658228762
cell,,,"phòng nhỏ, xà lim, ngăn nhỏ",,4000B1_cell.mp3,1565658228763
contain,,,"chứa đựng, gồm có",,4000B1_contain.mp3,1565658228764
correct,,,"đúng, chính xác",,4000B1_correct.mp3,1565658228765
crop,,,"vụ mùa, cây lương thực",,4000B1_crop.mp3,1565658228766
demand,,,"yêu cầu, nhu cầu",,4000B1_demand.mp3,1565658228767
equal,,,"ngang, bằng",,4000B1_equal.mp3,1565658228768
feed,,,"cho ăn, nuôi nấng",,4000B1_feed.mp3,1565658228769
hole,,,"hố, lỗ thủng",,4000B1_hole.mp3,1565658228770
increase,,,"tăng lên, tăng thêm",,4000B1_increase.mp3,1565658228771
lord,,,chúa tể,,4000B1_lord.mp3,1565658228772
owe,,,"nợ, hàm ơn",,4000B1_owe.mp3,1565658228773
position,,,"vị trí, chỗ",,4000B1_position.mp3,1565658228774
raise,,,"nâng lên, đỡ dậy",,4000B1_raise.mp3,1565658228775
responsible,,,chịu trách nhiệm,,4000B1_responsible.mp3,1565658228776
sight,,,cảnh đẹp,,4000B1_sight.mp3,1565658228777
spot,,,"nơi, chốn",,4000B1_spot.mp3,1565658228778
structure,,,"kết cấu, cấu trúc",,4000B1_structure.mp3,1565658228779
whole,,,toàn bộ,,4000B1_whole.mp3,1565658228780
coach,,,huấn luyện viên,,4000B1_coach.mp3,1565658228781
control,,,điều khiển,,4000B1_control.mp3,1565658228782
description,,,"sự diễn tả, sự mô tả",,4000B1_description.mp3,1565658228783
direct,,,"thẳng, trực tiếp",,4000B1_direct.mp3,1565658228784
exam,,,sự thi cử; kỳ thi,,4000B1_exam.mp3,1565658228785
example,,,"thí dụ, ví dụ",,4000B1_example.mp3,1565658228786
limit,,,"giới hạn, hạn chế",,4000B1_limit.mp3,1565658228787
local,,,địa phương,,4000B1_local.mp3,1565658228788
magical,,,"ma thuật, kỳ diệu",,4000B1_magical.mp3,1565658228789
mail,,,"thư từ, bưu phẩm",,4000B1_mail.mp3,1565658228790
novel,,,tiểu thuyết,,4000B1_novel.mp3,1565658228791
outline,,,phác thảo,,4000B1_outline.mp3,1565658228792
poet,,,"nhà thơ, thi sĩ",,4000B1_poet.mp3,1565658228793
print,,,"in, viết",,4000B1_print.mp3,1565658228794
scene,,,phân cảnh,,4000B1_scene.mp3,1565658228795
sheet,,,"lá, tấm, phiến, tờ",,4000B1_sheet.mp3,1565658228796
silly,,,"ngớ ngẩn, khờ dại",,4000B1_silly.mp3,1565658228797
store,,,"cửa hàng, tiệm tạp hóa",,4000B1_store.mp3,1565658228798
suffer,,,"chịu đựng, lướt sóng",,4000B1_suffer.mp3,1565658228799
technology,,,công nghệ,,4000B1_technology.mp3,1565658228800
across,,,"qua, ngang qua",,4000B1_across.mp3,1565658228801
breathe,,,"hít, thở",,4000B1_breathe.mp3,1565658228802
characteristic,,,"đặc tính, đặc điểm",,4000B1_characteristic.mp3,1565658228803
consume,,,tiêu thụ,,4000B1_consume.mp3,1565658228804
excite,,,phấn khích,,4000B1_excite.mp3,1565658228805
extreme,,,"vô cùng, khắc nghiệt",,4000B1_extreme.mp3,1565658228806
fear,,,sự sợ hãi,,4000B1_fear.mp3,1565658228807
fortunate,,,may mắn,,4000B1_fortunate.mp3,1565658228808
happen,,,"tình cờ, xảy ra",,4000B1_happen.mp3,1565658228809
length,,,"chiều dài, độ dài",,4000B1_length.mp3,1565658228810
mistake,,,"lỗi, sai lầm",,4000B1_mistake.mp3,1565658228811
observe,,,"quan sát, nhận xét",,4000B1_observe.mp3,1565658228812
opportunity,,,"cơ hội, thời cơ",,4000B1_opportunity.mp3,1565658228813
prize,,,"giải thưởng, phần thưởng",,4000B1_prize.mp3,1565658228814
race,,,cuộc đua,,4000B1_race.mp3,1565658228815
realize,,,"nhận ra, nhận thức",,4000B1_realize.mp3,1565658228816
respond,,,"đáp lại, hưởng ứng",,4000B1_respond.mp3,1565658228817
risk,,,"mạo hiểm, rủi ro",,4000B1_risk.mp3,1565658228818
wonder,,,"muốn biết, tự hỏi",,4000B1_wonder.mp3,1565658228819
yet,,,chưa,,4000B1_yet.mp3,1565658228820
academy,,,học viện,,4000B1_academy.mp3,1565658228821
ancient,,,cổ xưa,,4000B1_ancient.mp3,1565658228822
board,,,bảng,,4000B1_board.mp3,1565658228823
century,,,thế kỷ,,4000B1_century.mp3,1565658228824
clue,,,"manh mối, đầu mối",,4000B1_clue.mp3,1565658228825
concert,,,"buổi hoà nhạc (n), phối hợp/sắp đặt (v)",,4000B1_concert.mp3,1565658228826
county,,,"hạt, tỉnh (đơn vị hành chính)",,4000B1_county.mp3,1565658228827
dictionary,,,từ điển,,4000B1_dictionary.mp3,1565658228828
exist,,,"tồn tại, sống",,4000B1_exist.mp3,1565658228829
flat,,,"phẳng, căn hộ",,4000B1_flat.mp3,1565658228830
gentleman,,,quý ông,,4000B1_gentleman.mp3,1565658228831
hidden,,,"ẩn, trốn, nấp, che giấu",,4000B1_hidden.mp3,1565658228832
maybe,,,có lẽ,,4000B1_maybe.mp3,1565658228833
officer,,,sĩ quan,,4000B1_officer.mp3,1565658228834
original,,,"nguyên bản, nguyên gốc",,4000B1_original.mp3,1565658228835
pound,,,"đánh đập, đóng (đinh), Pao (khoảng 450 gam)",,4000B1_pound.mp3,1565658228836
process,,,quá trình,,4000B1_process.mp3,1565658228837
publish,,,"xuất bản, công bố, ban hành",,4000B1_publish.mp3,1565658228838
theater,,,"nhà hát, rạp hát",,4000B1_theater.mp3,1565658228839
wealth,,,"sự giàu có, sự giàu sang",,4000B1_wealth.mp3,1565658228840
appreciate,,,"đánh giá, nâng giá, tăng giá",,4000B1_appreciate.mp3,1565658228841
available,,,"sẵn sàng để dùng, sẵn có",,4000B1_available.mp3,1565658228842
beat,,,đánh bại,,4000B1_beat.mp3,1565658228843
bright,,,sáng chói,,4000B1_bright.mp3,1565658228844
celebrate,,,"làm lễ kỷ niệm, tán dương, ca tụng",,4000B1_celebrate.mp3,1565658228845
determine,,,"xác định, định rõ, quyết định",,4000B1_determine.mp3,1565658228846
disappear,,,biến mất,,4000B1_disappear.mp3,1565658228847
else,,,khác,,4000B1_else.mp3,1565658228848
fair,,,"công bằng, hợp lý",,4000B1_fair.mp3,1565658228849
flow,,,"chảy, dòng chảy, lưu lượng",,4000B1_flow.mp3,1565658228850
forward,,,phía trước,,4000B1_forward.mp3,1565658228851
hill,,,ngọn đồi,,4000B1_hill.mp3,1565658228852
level,,,"mức, mức độ (n); phẳng, bằng (adj); làm phẳng, san bằng (v)",,4000B1_level.mp3,1565658228853
lone,,,"cô độc, bơ vơ, hiu quạnh",,4000B1_lone.mp3,1565658228854
puddle,,,vũng nước,,4000B1_puddle.mp3,1565658228855
response,,,"trả lời, đáp lại",,4000B1_response.mp3,1565658228856
season,,,mùa trong năm,,4000B1_season.mp3,1565658228857
solution,,,"giải pháp, cách giải quyết",,4000B1_solution.mp3,1565658228858
waste,,,lãng phí,,4000B1_waste.mp3,1565658228859
whether,,,"không biết có không, giữa (cái này cái kia)...",,4000B1_whether.mp3,1565658228860
argue,,,tranh cãi,,4000B1_argue.mp3,1565658228861
communicate,,,"liên lạc, giao tiếp",,4000B1_communicate.mp3,1565658228862
crowd,,,đám đông,,4000B1_crowd.mp3,1565658228863
depend,,,"phụ thuộc, tuỳ thuộc",,4000B1_depend.mp3,1565658228864
dish,,,đĩa (đựng thức ăn),,4000B1_dish.mp3,1565658228865
empty,,,"rỗng, trống không",,4000B1_empty.mp3,1565658228866
exact,,,"chính xác, đúng đắn",,4000B1_exact.mp3,1565658228867
fresh,,,"tươi (hoa, rau, cá, thịt...), trong lành (không khí)",,4000B1_fresh.mp3,1565658228868
gather,,,"thu thập, tập hợp",,4000B1_gather.mp3,1565658228869
indicate,,,"cho biết, ra dấu, tỏ ra, biểu lộ",,4000B1_indicate.mp3,1565658228870
item,,,"món (ghi trong đơn hàng...), khoản, tiết mục",,4000B1_item.mp3,1565658228871
offer,,,"đưa ra đề nghị, đưa ra, chìa ra, biếu tặng",,4000B1_offer.mp3,1565658228872
price,,,giá ((nghĩa đen) & (nghĩa bóng)),,4000B1_price.mp3,1565658228873
product,,,"sản phẩm, vật phẩm",,4000B1_product.mp3,1565658228874
property,,,"tài sản, của cải",,4000B1_property.mp3,1565658228875
purchase,,,"mua, tậu",,4000B1_purchase.mp3,1565658228876
recommend,,,"giới thiệu, khuyên bảo, khuyên dùng",,4000B1_recommend.mp3,1565658228877
select,,,"lựa chọn, chọn lọc, tuyển lựa",,4000B1_select.mp3,1565658228878
tool,,,"dụng cụ, đồ nghề",,4000B1_tool.mp3,1565658228879
treat,,,"đối xử, đối đãi, cư xử, ăn ở",,4000B1_treat.mp3,1565658228880
alive,,,"còn sống, đang sống, còn tồn tại",,4000B1_alive.mp3,1565658228881
bone,,,xương,,4000B1_bone.mp3,1565658228882
bother,,,làm phiền,,4000B1_bother.mp3,1565658228883
captain,,,"thuyền trưởng, cơ trưởng",,4000B1_captain.mp3,1565658228884
conclusion,,,"sự kết luận, sự kết thúc, phần cuối",,4000B1_conclusion.mp3,1565658228885
doubt,,,"sự nghi ngờ, sự ngờ vực",,4000B1_doubt.mp3,1565658228886
explore,,,"khám phá, thăm dò, thám hiểm",,4000B1_explore.mp3,1565658228887
foreign,,,(thuộc) nước ngoài,,4000B1_foreign.mp3,1565658228888
glad,,,"vui mừng, sung sướng",,4000B1_glad.mp3,1565658228889
however,,,tuy nhiên,,4000B1_however.mp3,1565658228890
injustice,,,sự bất công,,4000B1_injustice.mp3,1565658228891
international,,,(thuộc) quốc tế,,4000B1_international.mp3,1565658228892
lawyer,,,luật sư,,4000B1_lawyer.mp3,1565658228893
mention,,,"đề cập, nói đến, kể ra",,4000B1_mention.mp3,1565658228894
policy,,,chính sách,,4000B1_policy.mp3,1565658228895
social,,,có tính chất xã hội,,4000B1_social.mp3,1565658228896
speech,,,"bài nói chuyện, bài diễn văn",,4000B1_speech.mp3,1565658228897
staff,,,"nhân viên, nhóm nhân viên",,4000B1_staff.mp3,1565658228898
toward,,,"về phía, hướng về",,4000B1_toward.mp3,1565658228899
wood,,,gỗ,,4000B1_wood.mp3,1565658228900
achieve,,,"đạt được, giành được",,4000B1_achieve.mp3,1565658228901
advise,,,"khuyên, khuyên bảo",,4000B1_advise.mp3,1565658228902
already,,,rồi; đã... rồi,,4000B1_already.mp3,1565658228903
basic,,,"cơ bản, cơ sở",,4000B1_basic.mp3,1565658228904
bit,,,"mẩu, miếng",,4000B1_bit.mp3,1565658228905
